product_id,product_name,vendor,category,price,original_price,rating,review_count,in_stock,sku,tags,description,created_at,image_url,product_url,is_discounted,discount_amount,discount_percentage,stock_status,created_date,created_year,created_month,created_month_name,price_category,rating_category
1,Lightweight Probiotics,SoundWave,Health,155.62,206.69,4.0,52,1,SKU-HEA-0001,"natural, fitness",High-quality lightweight probiotics from SoundWave. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2022-08-29 00:00:00,https://placehold.co/400x400/10b981/ffffff?text=Probiotics,https://scrapingsandbox.com/product/1,1,51.07,24.71,In Stock,2022-08-29,2022,8,August,Luxury,Very Good
2,Wireless LED Desk Lamp,SoundWave,Electronics,145.4,210.01,4.6,12,0,SKU-ELE-0002,"tech, digital, USB",High-quality wireless led desk lamp from SoundWave. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-04 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=LED,https://scrapingsandbox.com/product/2,1,64.61,30.77,Out of Stock,2023-06-04,2023,6,June,Premium,Excellent
3,Deluxe Tea Collection,StyleCraft,Food & Beverage,185.01,313.98,3.5,211,1,SKU-FOO-0003,organic,High-quality deluxe tea collection from StyleCraft. Perfect for everyday use. Features premium materials and thoughtful design. This food & beverage product has been carefully crafted to meet the highest standards of quality and performance.,2023-04-17 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Tea,https://scrapingsandbox.com/product/3,1,128.97,41.08,In Stock,2023-04-17,2023,4,April,Luxury,Good
4,Essential Tire Gauge,TechVault,Automotive,70.86,,3.6,47,0,SKU-AUT-0004,"car, accessories, travel",High-quality essential tire gauge from TechVault. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2022-10-24 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Tire,https://scrapingsandbox.com/product/4,0,0.0,0.0,Out of Stock,2022-10-24,2022,10,October,Affordable,Good
5,Smart Carving Tools,SparkleBox,Art,97.13,,3.5,353,1,SKU-ART-0005,"drawing, painting",High-quality smart carving tools from SparkleBox. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2022-08-07 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Carving,https://scrapingsandbox.com/product/5,0,0.0,0.0,In Stock,2022-08-07,2022,8,August,Affordable,Good
6,Professional Dog Food,StyleCraft,Pet Supplies,145.4,,4.6,156,1,SKU-PET-0006,"cats, grooming, food",High-quality professional dog food from StyleCraft. Perfect for everyday use. Features premium materials and thoughtful design. This pet supplies product has been carefully crafted to meet the highest standards of quality and performance.,2022-08-30 00:00:00,https://placehold.co/400x400/ef4444/ffffff?text=Dog,https://scrapingsandbox.com/product/6,0,0.0,0.0,In Stock,2022-08-30,2022,8,August,Premium,Excellent
7,Smart Car Wash Kit,UrbanThread,Automotive,139.94,173.26,3.0,81,1,SKU-AUT-0007,car,High-quality smart car wash kit from UrbanThread. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2023-08-19 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Car,https://scrapingsandbox.com/product/7,1,33.32,19.23,In Stock,2023-08-19,2023,8,August,Premium,Average
8,Premium Bluetooth Speaker,AutoParts Pro,Electronics,108.99,,4.5,426,1,SKU-ELE-0008,USB,High-quality premium bluetooth speaker from AutoParts Pro. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2023-09-04 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Bluetooth,https://scrapingsandbox.com/product/8,0,0.0,0.0,In Stock,2023-09-04,2023,9,September,Premium,Excellent
9,Vintage Tablet Stand,GlowUp,Electronics,44.15,69.14,3.4,411,1,SKU-ELE-0009,tech,High-quality vintage tablet stand from GlowUp. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2023-10-16 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Tablet,https://scrapingsandbox.com/product/9,1,24.99,36.14,In Stock,2023-10-16,2023,10,October,Budget,Average
10,Portable Marker Pack,VitalLife,Art,193.91,258.48,4.2,330,1,SKU-ART-0010,"supplies, creative, crafts",High-quality portable marker pack from VitalLife. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2023-10-27 00:00:00,https://placehold.co/400x400/3b82f6/ffffff?text=Marker,https://scrapingsandbox.com/product/10,1,64.57,24.98,In Stock,2023-10-27,2023,10,October,Luxury,Very Good
